,FCLTY_NM,INDUTY_NM,ROAD_NM_SIGNGU_NM,FCLTY_LA,FCLTY_LO
15456,신안현대아파트,간이운동장,안동시,36.5764852608411,128.735101364435
15457,신암게이트볼장,전천후게이트볼장,예산군,36.7408454449,126.8318853958
15458,신양게이트볼장,전천후게이트볼장,예산군,36.6000410252,126.868491722
15459,신억실마을모정,간이운동장,장성군,35.2601725341,126.6684075382
15460,신왕게이트볼장,간이운동장,강릉시,37.844788,128.78949
15461,신용주공아파트,간이운동장,북구,35.208814,126.868208
15462,신우어린이공원,간이운동장,영등포구,37.5035778322,126.899092115
15463,신원동체육시설,간이운동장,서초구,37.456532,127.050725
15464,신원배드민턴장,체육관,고양시 덕양구,37.6645175716,126.8958462349
15465,신일어린이공원,간이운동장,용인시 수지구,37.328239,127.077233
15466,신장게이트볼장,전천후게이트볼장,평택시,37.0858925149,127.0511970042
15467,신전게이트볼장,전천후게이트볼장,강진군,34.5131650021,126.720352718
15468,신창어린이공원,간이운동장,도봉구,37.639844,127.040754
15469,신촌리복지회관,간이운동장,안성시,36.9451950608,127.2581627296
15470,신태인테니스장,테니스장,정읍시,35.6794497954,126.8904682465
15471,신평레포츠공원,간이운동장,사하구,35.0932390925,128.959711291
15472,신평마을경로당,간이운동장,경주시,35.8236531371568,129.286166807515
15473,신항어린이공원,간이운동장,목포시,34.758304,126.358374
15474,신현교육훈련관,체육관,시흥시,37.4073487461445,126.788203234477
15475,신현교육훈련관,기타시설,시흥시,37.4073487461445,126.788203234477
15476,신현여자중학교,간이운동장,서구,37.5208969246,126.6641890458
15477,신효게이트볼장,간이운동장,서귀포시,33.266289,126.608787
15478,신흑게이트볼장,간이운동장,보령시,36.3266101078,126.5061096141
15479,신흥마을아파트,간이운동장,동구,36.3117696265,127.45480709
15480,신흥어린이공원,간이운동장,목포시,34.799619,126.426122
15481,신흥어린이공원,간이운동장,은평구,37.595948,126.911949
15483,실내게이트볼장,전천후게이트볼장,밀양시,35.5063819369,128.7474830559
15484,실내보조체육관,체육관,영광군,35.2891329104,126.4940851206
15485,실내야구연습장,야구장,고창군,35.4285460814,126.7252234451
15486,실내인공암벽장,기타시설,사천시,35.0903910645,128.0958490241
15487,실이봉체육시설,간이운동장,동구,35.1439047524,129.046409317
15488,심곡게이트볼장,간이운동장,동해시,37.576331,129.081236
15490,심곡지현경로당,간이운동장,경주시,35.900075672932,129.059022736659
15491,심원게이트볼장,전천후게이트볼장,고창군,35.5231547272,126.5471406363
15492,십이리체육공원,간이운동장,창녕군,35.6126040323,128.469989441
15493,쌈지공원덕하리,간이운동장,강화군,37.7944459137,126.4132300165
15494,쌍룡산근린공원,간이운동장,마포구,37.5529241361,126.950381947
15495,쌍림게이트볼장,전천후게이트볼장,고령군,35.6820515994604,128.229589489399
15496,쌍책게이트볼장,전천후게이트볼장,합천군,35.5752022302,128.283675321
15497,쌍촌어린이공원,간이운동장,서구,35.15158,126.86021
15498,쌍학어린이공원,간이운동장,서구,35.147163,126.866635
15499,쑥골어린이공원,간이운동장,남구,37.471425,126.669464
15500,아단배드민턴장,체육관,남동구,37.455987788709,126.73232871648
15501,아동산체육공원,간이운동장,밀양시,35.4924413693295,128.756893817811
15502,아라리정궁도장,국궁장,정선군,37.3770583608367,128.674744378219
15504,아람어린이공원,간이운동장,달서구,35.8060162575,128.52974419
15506,아래반고개공원,간이운동장,강남구,37.465343,127.106346
15507,아름게이트볼장,전천후게이트볼장,세종시,36.52269740143498,127.25744421611306
15508,아름파크골프장,골프연습장,세종시,36.52381058873869,127.25940181598304
