CLUB_NM,CTPRVN_NM,SIGNGU_NM,ITEM_NM,AFLTION_GROUP_NM,ITEM_CL_NM,SEXDSTN_FLAG_NM,Latitude,Longitude
관악구민체육센터,서울특별시,서울특별시       관악구,검도,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,37.4782,126.9518
관악볼링,서울특별시,서울특별시       관악구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.4782,126.9518
관저 달빛검도관,대전광역시,대전광역시       서구,검도,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.298311,127.3520156
광교경희대라이언태권도,경기도,경기도 수원시      영통구,태권도,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.2593,127.0466
광교산,경기도,경기도 수원시      영통구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.2593,127.0466
광명 금강 동호회,경상남도,경상남도 창원시      마산회원구,국학기공,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.2212,128.5797
광명브레인예술공연팀,충청북도,충청북도 청주시      상당구,국학기공,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,36.5897219,127.5051599
광명시바둑협회,경기도,경기도 광명시      ,바둑,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.4810539,126.8631275
광명시볼링협회,경기도,경기도 광명시      ,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.4810539,126.8631275
광명유도회관,경기도,경기도 광명시      ,유도,체육동호인조직,"13세이하부,16세이하부,19세이하부,실업(일반)",혼성,37.4810539,126.8631275
광명줄세상,경기도,경기도 광명시      ,줄넘기,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.4810539,126.8631275
광사품태권도장,경기도,경기도 양주시      ,태권도,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,37.7849312,127.0457771
광산구 볼링협회,광주광역시,광주광역시       광산구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35.1396428,126.7938232
광산구게이트볼협회,광주광역시,광주광역시       광산구,게이트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,대학부,실업(일반)",혼성,35.1396428,126.7938232
